trace_id,timestep,source_node,target_node
0,0,7,1
1,0,5,7
2,0,4,0
3,0,1,10
4,1,2,5
5,2,0,8
6,2,8,2
7,2,9,4
8,3,7,5
9,3,0,10
10,4,9,2
11,4,3,1
12,4,8,2
13,4,1,4
14,5,9,4
15,5,2,0
16,5,10,1
17,5,1,10
18,6,9,2
19,6,11,0
20,6,5,2
21,6,10,7
22,6,6,5
23,6,4,1
24,6,2,9
25,7,5,7
26,7,6,7
27,7,2,5
28,7,8,7
29,7,3,1
30,8,5,6
31,8,10,0
32,8,3,1
33,8,7,10
34,9,11,4
35,9,6,5
36,9,8,0
37,9,9,2
38,9,7,1
