node,timestep,conviction,exposures
3244,0,0.07971798010444665,1
4959,0,0.017662865334767363,1
788,0,0.09837343458898888,1
2256,0,0.059347384052136284,1
491,13,0.16136709825764897,2
159,13,0.09773749781117441,2
1442,13,0.07577406413318467,1
72,13,0.06231105832046035,1
1770,13,0.12287364015294708,2
1928,13,0.08353618498625252,1
3027,13,0.10579507328182919,2
1908,13,0.06250674508645047,1
141,13,0.1775148933634773,2
1211,13,0.11622906476258021,2
98,13,0.07690390324174143,1
18,13,0.21503875838817266,2
1029,13,0.10987588379061516,2
259,13,0.1722518672553109,2
1245,13,0.03486645541607818,1
4263,13,0.10292825568048006,2
1096,13,0.023476852213611548,1
406,13,0.21336058665503216,2
1353,13,0.054433475514886726,1
247,13,0.23530368176035737,2
815,13,0.16449632427939342,2
1135,13,0.06009501135863748,1
2756,13,0.11021466029018961,2
756,13,0.0726518503085688,1
2479,13,0.04230668401122304,1
496,13,0.13038975280768653,1
188,13,0.1340127298226274,2
3284,16,0.283144041619779,1
119,18,0.35715639687873035,2
443,20,0.354228639176028,2
197,20,0.3501664416832886,2
433,20,0.2803479050444509,1
1453,20,0.28928975836517273,1
730,23,0.2951352205216828,1
414,26,0.23699699695587656,3
4089,26,0.11216688016377437,3
1067,26,0.21017578873632603,3
4324,29,0.29741573255486314,1
4990,30,0.3,1
22,32,0.18519800434626385,2
1006,32,0.2451776853041024,3
500,32,0.12017849803605626,3
347,32,0.11943983449994294,3
1328,32,0.28473598885705875,4
113,32,0.19191822961970062,2
4199,32,0.20122595993544012,3
3585,32,0.2669452520117757,4
4972,32,0.14267094912716272,3
1896,32,0.10591005888071586,2
177,32,0.1756910792281834,2
1590,32,0.20167062137429206,3
4088,32,0.14036180963819353,3
2117,32,0.14905062982010453,2
583,32,0.1467395373781718,2
2608,32,0.190274621003338,4
1293,32,0.1829347476804305,3
3307,32,0.12236866371886265,3
1249,32,0.2567928123300556,3
1954,32,0.2080111896606558,3
837,32,0.20543026472789383,3
1671,32,0.1921235471142422,3
2855,32,0.13518880020055785,3
559,32,0.2126769662507054,3
3356,32,0.08140804338576589,2
1508,32,0.21440211368179957,3
83,32,0.1287493759856985,2
1571,32,0.06397141608237189,2
66,32,0.7674418967355763,6
2795,32,0.1412573806344361,2
106,32,0.1833327219422263,3
275,32,0.24699228579770793,2
926,32,0.22596289989567803,3
81,32,0.16672743241600363,2
1311,32,0.09965090225874516,2
118,32,0.39148003444040236,2
2682,32,0.10362675691776371,2
334,32,0.23284840493803483,3
2200,32,0.16276692729807102,2
665,32,0.1749767585375957,3
97,32,0.23518977715202005,3
2227,32,0.10785635363311093,2
2024,32,0.2840319986696034,3
23,32,0.22741085968934727,2
1745,32,0.2028938459625927,3
3791,32,0.18613183439476555,2
615,32,0.22211295776980422,2
3092,32,0.18582749667211704,3
757,32,0.08806862862987999,2
4451,32,0.11962097309299663,2
1065,32,0.15788230050255908,2
3426,32,0.11337174924094293,2
2535,32,0.14654917342034435,3
21,32,0.3321914711846226,3
93,32,0.10524619852906855,2
2017,32,0.14583649219100128,3
1951,33,0.3,1
1162,33,0.7599,4
4026,33,0.51,2
1222,34,0.26815170881352524,1
1473,34,0.39830860429945836,3
2918,34,0.2601437208375382,1
11,34,0.38871132829471133,3
323,34,0.3812341754531884,3
660,34,0.2582645698412034,1
3365,34,0.26494111652939517,1
558,34,0.2607710903889204,1
705,34,0.29204247413461093,1
1290,35,0.36269802921418154,2
8,35,0.7888929793508646,7
1841,36,0.18970258281695426,1
17,36,0.3441995036472498,3
2282,36,0.16280942101010507,1
304,36,0.35021140644311577,3
1103,36,0.33306055738243323,3
1160,36,0.29611920457415436,3
2981,36,0.2537832780587063,1
3118,36,0.2737557065136721,1
4419,36,0.19453765982868948,1
629,36,0.3221441997694283,3
495,36,0.3879449062985668,3
2387,36,0.3422942342792591,3
939,36,0.2826559209542074,2
355,36,0.3407975715251994,3
68,36,0.8933350334967882,9
420,36,0.15241440090582792,1
1056,40,0.21541018801292522,3
1624,40,0.2759584014013639,5
372,40,0.23115347936174924,2
644,40,0.17240030097053116,2
2724,40,0.05255583006391311,1
3016,40,0.1921553493107302,4
88,40,0.27294345802902265,3
1599,40,0.13295688267583378,2
1829,40,0.18081853040009718,4
2633,40,0.1685529994968472,4
4174,40,0.17824626867485108,4
2135,40,0.23966668447694234,5
38,40,0.25378656915556225,4
866,40,0.3294912826590918,5
2940,40,0.23549296532800262,4
127,40,0.1877203118143211,3
1513,40,0.1493241514679267,4
1018,40,0.20349420306805047,4
2157,40,0.19350958529596562,4
232,40,0.13861012892770508,2
111,40,0.195736377267783,2
3469,40,0.3386417313364044,5
3478,40,0.0998977382891417,3
321,40,0.2898827304581439,3
494,40,0.14160041450498545,2
727,40,0.11201714881078609,3
1635,40,0.23023980908261824,4
318,40,0.7547222088833001,7
2602,40,0.21673768383001282,4
447,40,0.21637111251615285,4
1208,40,0.1724423709922879,4
155,40,0.22137087786958634,3
1732,40,0.1179038683086788,2
4998,40,0.1970202940551173,5
1361,40,0.2639611700880044,3
2916,40,0.14337463920708662,2
1334,40,0.4224591097878812,3
1652,40,0.23173901088240342,4
3879,40,0.2501049003407076,3
1050,40,0.14146014902030768,3
503,40,0.42183318026617006,4
2267,40,0.050355702075685016,4
246,40,0.2785768589950152,3
385,40,0.10871262137866552,3
493,40,0.25291014454267247,3
290,40,0.23243921219746466,3
363,40,0.11505830681244603,2
305,40,0.3990615056544178,4
1081,40,0.16354127648427963,3
390,40,0.17733626611384334,3
1643,40,0.12774314791104507,2
4977,40,0.10719451073937775,3
823,40,0.15092736261930217,2
4062,40,0.11807604928564691,3
31,40,0.24615127072988477,3
40,40,0.2755271877990639,4
2527,40,0.16027655659940465,3
4604,40,0.12842654041759857,3
2965,40,0.188391990957655,4
1719,40,0.09170523724378726,2
3385,40,0.15951459191043876,3
92,40,0.2527156417254848,2
402,40,0.30910766275867874,4
1911,40,0.14288750741141182,3
801,40,0.13412335727191582,2
762,40,0.10350030735048377,3
509,40,0.3284887263788731,3
1212,40,0.14929818705953068,2
2452,40,0.13098036146416436,2
1603,40,0.229645432733186,3
3195,40,0.08308536021295826,2
352,40,0.1841912807677365,4
3574,41,0.29952346606328933,2
3912,41,0.51,2
1282,41,0.30292262969550776,2
91,41,0.3319108552278601,4
2359,41,0.3568414657224136,2
1397,41,0.47503655265165495,5
1371,41,0.5197630364903603,5
1367,41,0.28656446954104586,1
505,41,0.43823318223566454,3
3940,41,0.26617241495933364,2
3988,41,0.2812640099574185,2
2843,41,0.3256691056924707,2
627,41,0.3995993708775529,4
1998,41,0.31014111356312934,2
1073,41,0.28307609962570157,2
2937,41,0.32054164707400434,2
1378,41,0.29424191975981095,4
1175,41,0.34894894170099,2
77,41,0.8163692285486704,7
975,41,0.42153553292680435,4
4139,42,0.28656234904772615,1
1,42,0.6371292512910572,6
3255,42,0.2834205394044038,1
182,42,0.4438426894152755,5
732,42,0.5238034042844915,5
2727,42,0.28358796495872995,1
1572,42,0.27764362457691066,1
340,42,0.25245463268908674,1
799,43,0.517710578174843,5
1447,43,0.45739746945334214,2
2242,43,0.2635961292595593,1
2159,44,0.4793659147661121,2
87,44,0.7201368336042431,6
4625,44,0.2838191542454877,1
4141,44,0.27446935147249685,1
