node,theta,conviction,adopted,adopted_at,exposures,is_seed
0,0.7157277277323582,1.0,True,0,11,True
1,0.49115613726063817,0.7452196621085806,True,42,7,False
2,0.8267590248556189,0.5969152690316648,False,,5,False
3,0.9512254720572849,0.4088746686920943,False,,3,False
4,0.2999281695077592,0.22849900578882532,False,,4,False
5,0.9109315821885199,0.8139531048786705,False,,8,False
6,0.7722403972080762,0.6571657980559188,False,,5,False
7,0.7756140788206852,0.6380385879722341,False,,5,False
8,0.7732126661268647,0.8046717252551062,True,35,8,False
9,0.7331561210081811,0.0,False,,0,False
10,0.8514113846862731,0.538404867961561,False,,5,False
11,0.3014429867845747,0.6001302589846944,True,34,5,False
12,0.7657584522301697,0.2601367283026732,False,,4,False
13,0.8819438064531615,0.47895698389539043,False,,5,False
14,0.34163743971336163,0.11207251515819222,False,,3,False
15,0.8249965571811148,0.21612146148492029,False,,4,False
16,0.2745239749333935,0.10123449639401991,False,,4,False
17,0.3162056149538267,0.39148046655093355,True,36,4,False
18,0.12369503422423195,0.3838358491672184,True,13,4,False
19,0.6934807929963696,0.18324681949731708,False,,3,False
20,0.1685680744009691,0.0,False,,0,False
21,0.2944473008043839,0.7073441828339164,True,32,6,False
22,0.15798473326720724,0.26450770735545165,True,32,3,False
23,0.21709937243406704,0.3209169368530249,True,32,3,False
24,0.8618300844619111,0.0,False,,0,False
25,0.6444694697174478,0.055677059075175346,False,,2,False
26,0.5328606253801228,0.0,False,,0,False
27,0.2341670465293564,0.09740624128953067,False,,2,False
28,0.28440359612967286,0.1390144849079326,False,,2,False
29,0.899745600010644,0.1157725104718749,False,,2,False
30,0.6713700471639944,0.47457932750082044,False,,5,False
31,0.19175247864043482,0.24615127072988477,True,40,3,False
32,0.7302515729584658,0.3623031921558709,False,,4,False
33,0.7610806721074335,0.0,False,,0,False
34,0.15965637431033652,0.0,False,,0,False
35,0.37578792613252904,0.3126853743404815,False,,3,False
36,0.12638271520669675,0.0,False,,0,False
37,0.8724300856350052,0.14358195358702636,False,,3,False
38,0.25247622159348715,0.25378656915556225,True,40,4,False
39,0.23252456781951206,0.14248494247852922,False,,2,False
40,0.23882396405153963,0.2755271877990639,True,40,4,False
41,0.7165695674343241,0.0,False,,0,False
42,0.3052816119965914,0.0,False,,0,False
43,0.782738122219463,0.2909377788788963,False,,3,False
44,0.7373998571204533,0.4566129196442504,False,,4,False
45,0.2813146616503262,0.2593950814379452,False,,3,False
46,0.8041119025490292,0.0,False,,0,False
47,0.3421307762760654,0.0,False,,0,False
48,0.3392304688705859,0.12689869958080618,False,,4,False
49,0.37572469235842004,0.3198751321523733,False,,4,False
50,0.1438570774154918,0.04488575622914503,False,,1,False
51,0.4463999464329824,0.16119367415157304,False,,2,False
52,0.25808543036440273,0.15850135784362301,False,,4,False
53,0.1014638434316576,0.0,False,,0,False
54,0.34876911902408114,0.31150607074696945,False,,4,False
55,0.7001074909756255,0.0,False,,0,False
56,0.35479803161559004,0.2529247513299102,False,,3,False
57,0.4780414204382839,0.0,False,,0,False
58,0.2933035150121366,0.2607619302788355,False,,3,False
59,0.2909469624382437,0.08264574445008308,False,,2,False
60,0.7927519443387161,0.0,False,,0,False
61,0.9267578051572772,0.04811037016919785,False,,3,False
62,0.8789459870131847,0.0,False,,0,False
63,0.44491871139495665,0.2137945067503497,False,,4,False
64,0.17749318241619194,0.14284527894229432,False,,3,False
65,0.8144676734055645,0.0,False,,0,False
66,0.6891664967648764,0.9139708934464748,True,32,10,False
67,0.6942177161718055,0.0,False,,0,False
68,0.8753379578923174,0.9295516994269087,True,36,11,False
69,0.2412276734325829,0.0,False,,0,False
70,0.13937090096220925,0.0,False,,0,False
71,0.7974592524848448,0.0,False,,0,False
72,0.053530860620615295,0.425799400956721,True,13,5,False
73,0.6229552651714303,0.22337646821930618,False,,3,False
74,0.8695363755594102,0.1534928396022267,False,,2,False
75,0.7172108062130762,0.5635905641778889,False,,5,False
76,0.8135238900815087,0.0,False,,0,False
77,0.755437489620674,0.8163692285486704,True,41,7,False
78,0.26402575146035734,0.07243751517437658,False,,2,False
79,0.6130788274667095,0.14201867892639236,False,,3,False
80,0.7757632110103113,0.3195632850587238,False,,4,False
81,0.13157811257353322,0.23935743109950033,True,32,3,False
82,0.6425114429963487,0.1354781982953735,False,,3,False
83,0.11823755422377907,0.1867676370784082,True,32,3,False
84,0.8833839199465243,0.0,False,,0,False
85,0.7122676898372061,0.2457006036519282,False,,4,False
86,0.7670129010457145,0.0,False,,0,False
87,0.6092390743819662,0.7201368336042431,True,44,6,False
88,0.21447902774217867,0.27294345802902265,True,40,3,False
89,0.2109364704829089,0.13599789097038095,False,,2,False
90,0.2467999497355836,0.23312329904717666,False,,3,False
91,0.28271018142169674,0.3319108552278601,True,41,4,False
